"problem_number","title","classification","to_check_rank","latest_reference_year","status","note"
"EP-851","Erdős Problem #851","to-check","143","1934","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Romanoff \cite{Ro34} proved that the set of integers of the form $2^k+p$ (where $p$ is prime) has positive lower density."
"EP-852","Erdős Problem #852","to-check","115","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Brun's sieve implies $h(x) \to \infty$ as $x\to \infty$."
"EP-853","Erdős Problem #853","to-check","284","1985","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-854","Erdős Problem #854","to-check","116","","not_proved_no_dated_reference","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos first thought that (for large enough $k$) all even $t\leq \max(a_{i+1}-a_i)$ can be written as $t=a_{j+1}-a_j$ for some $j$, but in \cite{Ob1} writes 'perhaps this is false', and reports some computations of Lacampagne and Selfridge that this fails for $n_k=2\cdot 3\cdot 5\cdot 7\cdot 11\cdot 13$ which 'show some doubt on [his] conjecture', and says it could fail for all or infinitely many $k$."
"EP-856","Erdős Problem #856","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-857","Erdős Problem #857","harder","","2017","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-858","Erdős Problem #858","to-check","187","1968","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Alexander \cite{Al66} and Erdos, S\'{a}rk""{o}zi, and Szemer\'{e}di \cite{ESS68} proved that this maximum is $o(1)$ (as $N\to \infty$)."
"EP-859","Erdős Problem #859","to-check","193","1970","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er70} proved that $d_t$ always exists, and that there exist some constants $c_3,c_4>0$ such that $ \frac{1}{(\log t)^{c_3}} < d_t < \frac{1}{(\log t)^{c_4}}."
"EP-860","Erdős Problem #860","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-863","Erdős Problem #863","to-check","117","","not_proved_no_reference_block","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: It is true that $c_1=c_1'$, and the classical bound on the size of Sidon sets (see [30]) implies $c_1=c_1'=1$."
"EP-864","Erdős Problem #864","to-check","118","","not_proved_no_reference_block","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-865","Erdős Problem #865","to-check","215","1975","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos and S\'{o}s conjectured that $ f_k(N)\sim \frac{1}{2}\left(1+\sum_{1\leq r\leq k-2}\frac{1}{4^r}\right) N, $ and a similar example shows that this would be best possible."
"EP-866","Erdős Problem #866","to-check","119","","not_proved_no_reference_block","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Choi, Erdos, and Szemer\'{e}di proved that $g_3(N)=2$ and $g_4(N) \ll 1$."
"EP-869","Erdős Problem #869","to-check","301","1988","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Härtter \cite{Ha56} and Nathanson \cite{Na74} proved that there exist additive bases which do not contain any minimal additive bases."
"EP-870","Erdős Problem #870","to-check","250","1979","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: A question of Erdos and Nathanson \cite{ErNa79}, who proved that this is true for $k=2$ if $1_A\ast 1_A(n) > (\log \frac{4}{3})^{-1}\log n$ for all large $n$."
"EP-872","Erdős Problem #872","harder","","2016","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-873","Erdős Problem #873","to-check","120","","not_proved_no_reference_block","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: A problem of Erdos and Szemer\'{e}di, who proved that for every $A$ $ F(A,X,3) \ll X^{1/3}\log X, $ and there is an $A$ such that $ F(A,X,3) \gg X^{1/3}\log X $ for infinitely many $X$."
"EP-875","Erdős Problem #875","to-check","121","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"EP-876","Erdős Problem #876","to-check","375","2000","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos \cite{Er98} writes that Graham 'recently proved' that there is such a sequence for which $a_{n+1}-a_n<n^{1+o(1)}$, and that Melfi proved a somewhat weaker result."
"EP-878","Erdős Problem #878","to-check","281","1984","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: $ Erdos \cite{Er84e} proved that $ \max_{n\leq x}f(n)\sim \frac{x\log x}{\log\log x} $ for a sequence of $x\to \infty$."
"EP-879","Erdős Problem #879","to-check","122","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Van Lint proved that $ H(n)-n^{3/2-o(1)}<G(n)<H(n) $ and $ \frac{H(n)-G(n)}{n}\to \infty."
"EP-881","Erdős Problem #881","to-check","123","","not_proved_no_reference_block","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-883","Erdős Problem #883","to-check","366","1999","second_question_solved_first_open","Second subquestion is true: Sa99 gives a complete (1,ell,ell) with ell>>log n/loglog n for large n, hence any fixed ell is achieved eventually."
"EP-884","Erdős Problem #884","to-check","124","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-885","Erdős Problem #885","harder","","2019","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-886","Erdős Problem #886","to-check","352","1997","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos attributes this conjecture to Ruzsa."
"EP-887","Erdős Problem #887","to-check","353","1997","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A question of Erdos and Rosenfeld \cite{ErRo97}, who proved that there are infinitely many $n$ with $4$ divisors in $(n^{1/2},n^{1/2}+n^{1/4})$, and ask whether $4$ is best possible here."
"EP-888","Erdős Problem #888","to-check","125","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos claims that S\'{a}rk""{o}zy proved that $\lvert A\rvert =o(n)$ (a proof of this bound is provided by Tao in the comments)."
"EP-889","Erdős Problem #889","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-890","Erdős Problem #890","to-check","181","1967","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: This follows from P\'{o}lya's theorem that the set of $k$-smooth integers has unbounded gaps - indeed, $n(n+1)\cdots (n+k-1)$ is divisible by all primes $\leq k$ and, provided $n$ is large, all but at most one of $n,n+1,\ldots,n+k-1$ has a prime factor $>k$ by P\'{o}lya's theorem."
"EP-891","Erdős Problem #891","to-check","140","1918","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Schinzel deduced from P\'{o}lya's theorem \cite{Po18} (that the sequence of $k$-smooth integers has unbounded gaps) that this is true with $p_1\cdots p_k$ replaced by $p_1\cdots p_{k-1}p_{k+1}$."
"EP-892","Erdős Problem #892","to-check","188","1968","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: It is known that $ \sum \frac{1}{b_n\log b_n}<\infty $ and $ \sum_{b_n<x}\frac{1}{b_n} =o\left(\frac{\log x}{\sqrt{\log\log x}}\right) $ are both necessary."
"EP-893","Erdős Problem #893","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-896","Erdős Problem #896","to-check","126","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"EP-901","Erdős Problem #901","harder","","2009","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-902","Erdős Problem #902","to-check","177","1965","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos \cite{Er63c} proved $ 2^{n+1}-1 \leq f(n) \ll n^22^n."
"EP-906","Erdős Problem #906","to-check","275","1982","as_written_true_intended_variant_open","Solved as written by f(z)=1 (nonzero entire): f^(m)=0 for all m>=1, so for any infinite n_k the set {z: f^(n_k)(z)=0 for some k} equals C."
"EP-911","Erdős Problem #911","to-check","127","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-912","Erdős Problem #912","to-check","271","1982","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A problem of Erdos and Selfridge, who proved (see \cite{Er82c}) $ h(n) \asymp \left(\frac{n}{\log n}\right)^{1/2}."
"EP-913","Erdős Problem #913","to-check","128","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: This problem has been formalised in Lean as part of the Google DeepMind Formal Conjectures project."
"EP-917","Erdős Problem #917","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-918","Erdős Problem #918","to-check","189","1969","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: A question of Erdos and Hajnal \cite{ErHa68b}, who proved that for every finite $k$ there is a graph with chromatic number $\aleph_1$ where each subgraph on less than $\aleph_k$ vertices has chromatic number $\leq \aleph_0$."
"EP-919","Erdős Problem #919","to-check","190","1969","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-920","Erdős Problem #920","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-928","Erdős Problem #928","harder","","2021","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-929","Erdős Problem #929","harder","","2018","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-930","Erdős Problem #930","to-check","216","1975","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Selfridge \cite{ErSe75} proved that the product of consecutive integers is never a power (establishing the case $r=1$)."
"EP-931","Erdős Problem #931","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-932","Erdős Problem #932","to-check","129","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: This problem has been formalised in Lean as part of the Google DeepMind Formal Conjectures project."
"EP-933","Erdős Problem #933","to-check","227","1976","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Mahler proved (a more general result that implies in particular) that $ 2^k3^l<n^{1+o(1)}."
"EP-934","Erdős Problem #934","harder","","2022","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-935","Erdős Problem #935","to-check","228","1976","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A result of Mahler implies, for every $\ell\geq 1$, $ \limsup_{n\to \infty}\frac{Q_2(n(n+1)\cdots(n+\ell))}{n^2}\geq 1."
"EP-936","Erdős Problem #936","harder","","2020","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-938","Erdős Problem #938","to-check","130","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Erdos also conjectured (see [364]) that there are no triples of powerful numbers of the shape $n,n+1,n+2$."
"EP-939","Erdős Problem #939","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-940","Erdős Problem #940","to-check","337","1994","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er76d} claims that the claim that the set has density $0$ is 'easy' for $r=2$ (a potential 'easy argument' is given in the comments by Tao; this was first proved in the literature by Baker and Br""{u}dern \cite{BaBr94})."
"EP-942","Erdős Problem #942","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-943","Erdős Problem #943","to-check","131","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"EP-944","Erdős Problem #944","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-945","Erdős Problem #945","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-948","Erdős Problem #948","to-check","132","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos initially asked whether this is possible with the set being monochromatic, but Galvin showed that this is not always possible, considering the two colouring where, writing $n=2^km$ with $m$ odd, we colour $n$ red if $m\geq F(k)$ and blue if $m<F(k)$ (for some sufficiently quickly growing $F$)."
"EP-949","Erdős Problem #949","to-check","133","","not_proved_no_reference_block","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-950","Erdős Problem #950","to-check","134","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: $ The existence of some $c>0$ such that there are $\gg n^c/\log n$ many primes in $[n,n+n^c]$ implies that $\liminf f(n)>0$."
"EP-951","Erdős Problem #951","to-check","135","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Beurling conjectured that if the number of reals in $[1,x]$ of the form $\prod a_i^{k_i}$ is $x+o(\log x)$ then the $a_i$ must be the sequence of primes."
"EP-952","Erdős Problem #952","to-check","234","1977","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: In \cite{Er77c} Erdos recalls: 'The conjecture was told me by Motzkin at the Pasadena number theory meeting 1963 November and it was apparently raised by Basil Gordon and Motzkin."
"EP-953","Erdős Problem #953","to-check","235","1977","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: The trivial upper bound is $O(r)$."
"EP-954","Erdős Problem #954","to-check","136","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-955","Erdős Problem #955","harder","","2020","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-956","Erdős Problem #956","to-check","306","1990","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: A problem of Erdos and Pach \cite{ErPa90}, who proved that $h(n) \ll n^{4/3}$."
"EP-959","Erdős Problem #959","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-960","Erdős Problem #960","to-check","137","","not_proved_no_reference_block","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Tur\'{a}n's theorem implies $ f_{r,k}(n) \leq \left(1-\frac{1}{r-1}\right)\frac{n^2}{2}+1."
"EP-961","Erdős Problem #961","to-check","208","1974","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Sylvester and Schur (see \cite{Er34}) proved $f(k)\leq k$ and Erdos \cite{Er55d} proved $ f(k)<3\frac{k}{\log k}."
"EP-962","Erdős Problem #962","to-check","176","1965","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er65} wrote it is 'not hard to prove' that $ k(n)\gg_\epsilon \exp((\log n)^{1/2-\epsilon}) $ and it 'seems likely' that $k(n)=o(n^\epsilon)$, but had no non-trivial upper bound for $k(n)$."
"EP-963","Erdős Problem #963","to-check","138","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"EP-968","Erdős Problem #968","to-check","164","1961","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos and Prachar \cite{ErPr61} proved that $ \sum_{p_n<x} \lvert u_{n+1}-u_n\rvert \asymp (\log x)^2, $ and that the set of $n$ such that $u_n>u_{n+1}$ has positive density."
"EP-969","Erdős Problem #969","harder","","2016","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-970","Erdős Problem #970","harder","","2018","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-971","Erdős Problem #971","to-check","151","1949","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: He also proved that, for any $\epsilon>0$, $ p(a,d)< \epsilon \phi(d)\log d $ for $\gg_\epsilon \phi(d)$ many values of $a$."
"EP-972","Erdős Problem #972","to-check","148","1948","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Vinogradov \cite{Vi48} proved that the sequence $\{p\alpha\}$ is uniformly distributed for every irrational $\alpha$, and hence there are infinitely many primes $p$ of the shape $p=\lfloor n\alpha\rfloor$ for every irrational $\alpha>1$."
"EP-973","Erdős Problem #973","to-check","323","1992","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Erdos proved (as described on p.35 of \cite{Tu84b}) that such a sequence does exist with $\lvert z_i\rvert\leq 1$."
"EP-975","Erdős Problem #975","to-check","368","1999","quadratic_case_solved_general_open","Asymptotic c(f)XlogX is known for irreducible quadratic f (Hooley), with explicit constants in several families; general irreducible case remains open in this record."
"EP-976","Erdős Problem #976","to-check","308","1990","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Nagell and Ricci \cite{Na22} proved that $ F_f(n) \gg n\log n, $ which Erdos \cite{Er52c} improved to $ F_f(n) \gg n(\log n)^{\log\log\log n}."
"EP-978","Erdős Problem #978","harder","","2011","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-979","Erdős Problem #979","to-check","146","1937","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er37b} proved this is true when $k=2$, and also when $k=3$ (but this proof appears to be unpublished)."
"EP-983","Erdős Problem #983","to-check","194","1970","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Straus \cite{Er70b} proved that $ f(\pi(n)+1,n)=2\pi(n^{1/2})+o_A\left(\frac{n^{1/2}}{(\log n)^A}\right) $ for any $A>0$ and, for any constant $1>c>0$, $ f(cn,n)=\log\log n+(c_1+o(1))\sqrt{2\log\log n}, $ where $ c=\frac{1}{\sqrt{2\pi}}\int_{-\infty}^{c_1}e^{-x^2/2}\mathrm{d}x."
"EP-985","Erdős Problem #985","to-check","287","1986","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Artin conjectured that $2$ is a primitive root for infinitely many primes $p$, which Hooley \cite{Ho67b} proved assuming the Generalised Riemann Hypothesis."
"EP-986","Erdős Problem #986","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-987","Erdős Problem #987","to-check","209","1974","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Clunie \cite{Cl67} proved that $A_k\gg k^{1/2}$ infinitely often, and that there exist sequences with $A_k\leq k$ for all $k$."
"EP-990","Erdős Problem #990","to-check","152","1950","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Erdos and Tur\'{a}n \cite{ErTu50} proved such an upper bound with $n$ replaced by $d$."
"EP-992","Erdős Problem #992","to-check","153","1950","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Koksma \cite{ErKo49} and Cassels \cite{Ca50} independently proved that, for any sequence $x_i$ and almost all $\alpha$, the discrepancy satisfies $ D(N)\ll N^{1/2}(\log N)^{5/2+o(1)}."
"EP-995","Erdős Problem #995","to-check","172","1964","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: $ Erdos also proved that, for every lacunary sequence and $f\in L^2$, for every $\epsilon>0$, for almost all $\alpha$, $ \sum_{1\leq k\leq N}\sum_{1\leq k\leq N}f(\{\alpha n_k\})=o( N(\log N)^{\frac{1}{2}+\epsilon})."
"EP-996","Erdős Problem #996","to-check","180","1966","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Raikov proved the conclusion always holds (for every $f\in L^2([0,1])$, with no assumption on $\| f-f_n\|_2$) if $n_k=a^k$ for some integer $a\geq 2$."
"EP-997","Erdős Problem #997","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1002","Erdős Problem #1002","to-check","163","1960","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Kesten \cite{Ke60} proved that if $ f(\alpha,\beta,n)=\frac{1}{\log n}\sum_{1\leq k\leq n}(\tfrac{1}{2}-\{\beta+\alpha k\}) $ then $f(\alpha,\beta,n)$ has asymptotic distribution function $ g(c)=\frac{1}{\pi}\int_{-\infty}^{\rho c}\frac{1}{1+t^2}\mathrm{d}t, $ where $\rho>0$ is an explicit constant."
"EP-1003","Erdős Problem #1003","to-check","291","1987","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos, Pomerance, and S\'{a}rk""{o}zy \cite{EPS87} proved that the number of $n\leq x$ with $\phi(n)=\phi(n+1)$ is at most $ \frac{x}{\exp((\log x)^{1/3})}."
"EP-1004","Erdős Problem #1004","to-check","289","1987","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos, Pomerenace, and S\'{a}rk""{o}zy \cite{EPS87} proved that if $\phi(n+k)$ are all distinct for $1\leq k\leq K$ then $ K \leq \frac{n}{\exp(c(\log n)^{1/3})} $ for some constant $c>0$."
"EP-1005","Erdős Problem #1005","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1011","Erdős Problem #1011","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1013","Erdős Problem #1013","to-check","185","1968","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Graver and Yackel \cite{GrYa68} proved $ h_3(k)\gg \frac{\log k}{\log\log k}k^2."
"EP-1014","Erdős Problem #1014","to-check","139","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: This is open even for $k=3$."
"EP-1016","Erdős Problem #1016","harder","","2016","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1017","Erdős Problem #1017","harder","","2017","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1021","Erdős Problem #1021","harder","","2021","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1022","Erdős Problem #1022","to-check","186","1968","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos originally conjectured, in this language, that $c_2=1$, which was proved by Lov\'{a}sz \cite{Lo68}."
"EP-1029","Erdős Problem #1029","to-check","332","1993","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: In \cite{Er93} Erdos offers \$100 for a proof of this and \$1000 for a disproof, but says 'this last offer is to some extent phoney: I am sure that [this] is true (but I have been wrong before).' Erdos and Szekeres \cite{ErSz35} proved $ k2^{k/2} \ll R(k) \leq \binom{2k-1}{k-1}."
"EP-1030","Erdős Problem #1030","to-check","305","1989","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Burr, Erdos, Faudree, and Schelp \cite{BEFS89} proved $ R(k+1,k)-R(k,k)\geq 2k-5."
"EP-1032","Erdős Problem #1032","to-check","330","1993","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: This problem is also open for $5$-chromatic critical graphs."
"EP-1033","Erdős Problem #1033","to-check","298","1988","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos and Laskar \cite{ErLa85} proved $ 2(\sqrt{3}-1)n \geq h(n) \geq (1+c)n $ for some $c>0$."
"EP-1035","Erdős Problem #1035","to-check","329","1993","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos \cite{Er93} says 'if the conjecture is false, two related problems could be asked': {UL} {LI}Determine or estimate the smallest $m>2^n$ such that every graph on $m$ vertices with minimum degree $>(1-c)2^n$ contains a $Q_n$, and {/LI} {LI}For which $u_n$ is it true that every graph on $2^n$ vertices with minimum degree $>2^n-u_n$ contains a $Q_n$.{/LI} {/UL} See also [576] for the extremal number of edges that guarantee a $Q_n$."
"EP-1038","Erdős Problem #1038","to-check","165","1961","not_proved_identified_gap","Tried analytic/probabilistic reformulation to isolate a quantitative threshold. Hard point: A problem of Erdos, Herzog, and Piranian \cite{EHP58}, who proved that the measure of the set in question is always at most $2\sqrt{2}$ under the assumption that all the roots are in $\{-1,1\}$, and conjecture this is the best possible upper bound."
"EP-1039","Erdős Problem #1039","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1040","Erdős Problem #1040","to-check","201","1973","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Erdos and Netanyahu \cite{ErNe73} proved that if $F$ is also bounded and connected, with transfinite diameter $0<c<1$, then $\{ z: \lvert f(z)\rvert < 1\}$ always contains a disc of radius $\gg_c 1$."
"EP-1049","Erdős Problem #1049","to-check","149","1948","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A conjecture of Chowla."
"EP-1051","Erdős Problem #1051","to-check","299","1988","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-1052","Erdős Problem #1052","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1053","Erdős Problem #1053","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1054","Erdős Problem #1054","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1055","Erdős Problem #1055","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1056","Erdős Problem #1056","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1057","Erdős Problem #1057","harder","","2022","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1059","Erdős Problem #1059","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1060","Erdős Problem #1060","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1061","Erdős Problem #1061","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1062","Erdős Problem #1062","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1063","Erdős Problem #1063","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1065","Erdős Problem #1065","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1066","Erdős Problem #1066","harder","","2002","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1068","Erdős Problem #1068","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1070","Erdős Problem #1070","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1071","Erdős Problem #1071","to-check","290","1987","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: There is no prize mentioned in \cite{Er87b} for the (still open) second question."
"EP-1072","Erdős Problem #1072","harder","","2002","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1073","Erdős Problem #1073","harder","","2002","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-1074","Erdős Problem #1074","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
